tokenizer,locale,n,spearman_r,spearman_p,kendall_tau,kendall_p,spearman_p_corrected,significant_corrected
xlmr,ta,249,0.24690747193382878,8.227758706832802e-05,0.1716787684634803,9.077449874140037e-05,0.0001215464354418482,True
xlmr,tr,249,0.2796824975120628,7.434559838342858e-06,0.1954082498924779,7.497893439366911e-06,1.2081159737307144e-05,True
xlmr,ko,249,0.40528650125880783,2.916757672060696e-11,0.3039489311817558,4.4197532578380966e-11,1.1849328042746575e-10,True
mbert,en,249,0.494382132364428,9.417543742189903e-17,0.3673542377415972,1.0836980719063706e-16,1.2242806864846872e-15,True
mbert,es,249,0.41755300371596193,6.32133784345714e-12,0.3051805239549749,3.0469353037144813e-12,3.16066892172857e-11,True
mbert,fr,249,0.30550162229385486,8.902128552573801e-07,0.21486607443207725,7.556210152503081e-07,1.5227325155718342e-06,True
mbert,ru,249,0.33782548196417844,4.6160275213565285e-08,0.23811770803955803,5.279316536123568e-08,1.0001392962939145e-07,True
mbert,ar,249,0.038421883029632516,0.546203180386132,0.026793680991335795,0.5432302199829483,0.546203180386132,False
mbert,hi,249,0.14236032272135363,0.024668222124841863,0.09211134124384746,0.03430815643122132,0.026723907301912018,True
mbert,zh-Hans,249,,,,,,False
mbert,ja,249,0.38899621336348494,2.0226522876855866e-10,0.28262466372997824,4.4862069237370124e-10,5.976018122707415e-10,True
mbert,ta,249,0.27933068783875625,7.641838436322337e-06,0.19515147031058785,7.0283808358073075e-06,1.2115109716120778e-05,True
mbert,tr,249,0.17038715237342372,0.007041621897474672,0.12197980718934301,0.005052171806217742,0.008476026358071364,True
mbert,ko,249,0.17361423841647586,0.006019977203976355,0.1339618736203382,0.004938018469490372,0.00738299091053704,True
