,en,es,fr,ru,ar,hi,zh-Hans,ja,ta,tr,ko
TN,4.6715606656555995,6.860319561885173,4.6283133714312,5.470010657959326,4.63599301139041,5.386717672617281,10.664962507950243,9.468702236604056,4.67292257140706,5.56075140146768,10.15215785884453
AU,4.596095489527254,4.486261175475898,4.411699632705676,4.967548792327976,4.055604037662482,5.312254854485342,10.379519892848208,8.080910384096665,5.297499330906829,4.9163175515689455,8.281117092591332
BW,4.730674684720666,4.623898187344352,5.495304288761879,4.727454973555144,4.164060338824752,4.831591268504502,12.623507691306196,10.63696926819254,5.065336005956717,4.9945180022554085,8.930932153799018
GR,4.737716469288921,4.784120738598682,6.0641319832078775,5.914393299123568,3.6439897638400254,5.170511655133632,13.240589365823897,9.757601407311332,5.405344877760471,4.607728375467039,7.80865134797025
PT,4.982760058728919,4.975319621968711,5.048273770971412,5.002586172772242,4.2145654910845245,5.063830651246569,13.758780785804177,9.00652833935131,4.221170379476178,5.24485055052347,10.226436992057563
IS,4.842654633391706,4.613909739747189,4.715663705768248,5.187576849400361,4.9562472896080765,6.044821578461281,13.051204710457284,8.003188687060879,5.514448943795766,4.841894735785806,9.07597815761459
GP,4.9464223442765825,4.7610247737070885,4.6853496403401715,5.195795526252152,4.644922399371208,5.46293122303483,11.859640732819047,8.322670375215525,4.666588332033179,5.075955526970606,9.02943230150418
BR,5.9311750709277,4.873281640737659,5.1265297623712796,5.286563901314599,4.021087130322399,5.260262195958671,10.074343813629937,8.779675391144519,4.664109515607375,4.638470989008049,9.462987353402506
MY,4.805167421644793,4.358004145401359,4.415238639763341,5.461119174543889,3.9232757597377215,4.969980605648159,10.475763119842814,8.400957945827427,5.208813250551796,4.804445720587235,7.849424230987571
BY,4.850863035608187,4.434842698484579,4.536746653449282,5.303579189209924,4.095598408498813,4.94787078033783,11.097726007253316,8.412589921966294,5.380771099282834,4.635193127906915,9.961362537757115
KW,5.494302619712513,6.831034032906188,7.765098477404396,5.553230338706318,4.055573496946466,5.505925032289024,10.361143577722535,8.547572655775296,4.12298576507967,5.60049927783943,10.071407972016505
AT,4.709586927996804,4.705151688509885,5.00335738923844,5.17922666012723,3.750621376027841,5.48152473726668,10.123134379453141,8.040552555887691,5.140200350158973,5.248306586102389,8.048185213889758
